id;items;service_name;total_weight_of_items;price;date
b0f21fde-d038-4220-a150-e822fade9b4e;stealthily;macaroon qua stock;14106.16;4054.86;2024-04-30T16:34:13
0620b250-fdb2-406a-89f4-b3c0fc748b2d;timber designer wet-bar;flick what;21403.89;10025.44;2024-05-01T01:21:45
ed077154-31eb-49f3-a27d-ca2b4af57a90;rag detour;contest;23601.47;7692.73;2024-05-01T10:52:46
eef00166-029a-435b-938d-23994c4bc0c8;alarmed amongst;fence;7258.04;18438;2024-05-01T06:10:42
df275fa6-9b1c-4aff-99a5-60c1c241c9e3;although councilman;hiccup hog;24098.18;9571.74;2024-04-30T21:03:16
b89c440a-c10f-4f57-8d73-05b9b6bb52b6;ultimate who;pessimistic hourly ethical;3731.31;17258.69;2024-05-01T14:52:08
5870bb67-be3e-44e5-b32d-b85d757db1e0;geez;even;10445.85;20467.3;2024-04-30T23:45:37
005c18dd-b109-4b8f-b903-e0e1a681cc66;meanwhile;wherever;8301.87;9466.04;2024-04-30T19:27:27
ae6c95e9-d574-4ba1-a051-8a6aa9449716;deserve ouch in;while;6338.65;16153.92;2024-04-30T23:48:33
39db65a9-f386-4aec-91f2-ac91be110b0f;stockpile arrive queasily;sustenance;17654.47;1360.81;2024-04-30T17:59:30
