id;coord_x;coord_y;coord_z
89e17d80-d6ea-4267-b77e-c18ca29fb56e;8907.57;16065.99;9532.82
49ee1dfc-8570-49e4-b6b9-ec3a9e01b31a;31830.2;24823.36;4984.34
f4b31335-651f-451b-b567-408d529d7470;21974.93;16502.54;8794.39
b438dae5-a478-4912-8889-26f0e41f4c3a;25019.9;20252.18;26195.2
7c931b2f-e07e-4364-bab0-b8048f3fc379;26074.56;19906.47;4252.84
9825b7f3-baeb-495f-8547-a444d19b0917;14029.57;22384.33;722.26
db70a68c-d9a4-4534-be64-681e79f6a815;8949.08;28888.71;8653.12
49d87a75-1d73-4e08-a1e5-c2958c2557e4;10594.93;32372.26;13398.21
fe52016d-7443-445e-941f-f7ec3ead45e0;10183.17;20765.77;21650.46
adc37878-ee93-499e-824d-45de3f4ce05f;10837.5;7081.33;30465.56
