id;items;service_name;total_weight_of_items;price;date
3e8c3475-3f3c-4cc8-a0b0-7877f1336e3e;authentic star yowza;excluding more;24168.21;11386.91;2024-05-01T06:24:15
4d0f4008-d378-484e-b581-0d9103824e88;cop;bus;3584.61;15316.72;2024-04-30T16:09:41
a76d1d46-3fd1-481d-bc50-6a179c116b84;fooey;lifetime pall termite;5920.31;2844.51;2024-05-01T00:47:50
da7db3b2-47b9-4e20-a3a8-73cf7f37feda;dash whereas coincidence;ordinary;404.89;29231.94;2024-05-01T04:22:33
183be9be-6215-4147-a545-d2ad609e36cc;measly;infest whoa but;19178.12;14916.18;2024-05-01T02:24:35
4c032d1a-d281-4358-82cd-732534e9cf01;notwithstanding;tiptoe aw deliberately;18505.1;31716.12;2024-05-01T05:30:25
d98d0bdf-60d6-476f-9fe3-664d1ceb5a82;kiddingly;since;24312.4;24207.64;2024-05-01T10:37:42
bc7b62e8-b119-4b7b-b9d8-0885c1995d60;sanctuary whereas phew;falter;30065.28;25718.23;2024-04-30T21:09:03
06c8c469-a878-4e18-95ca-4516f259b769;lonely considering huzzah;demo times;14967.53;17609.35;2024-04-30T22:35:44
adc80a7b-eac7-4c82-b5b5-168c7d13d23a;offend;strictly pleasing prescription;11360.93;16855.63;2024-05-01T00:57:05
